タイトル,音量,弱音の割合,テンポ,波形が0値をとる回数,85％を占める低音域の割合,1500Hz以上の音域の割合,不協和音の多さを示す値,音質の変化の大きさ,根音に従っていない音の量,主に使われている音,majorとminorの音量の差,オノマトペ,カテゴリ
autoshaver_01,0.077541,0.51086,168.377,5864.8328,15881.4697,0.95427,define,define,0.49211,A min,-0.10452,ウィーン,機械
bell_02,0.066442,0.57402,143.5578,566.1437,1800.4761,0.18603,define,define,0.37022,D# min,-0.018067,カーン,楽器
bell_03,0.087049,0.50714,120.1758,6214.5617,12636.7939,0.98576,define,define,0.49688,define,0,シャンシャン,楽器
bell_04,0.088829,0.48315,113.0308,5874.3984,12626.8684,0.98884,define,define,0.49416,define,0,シャンシャン,楽器
boiling_01,0.076909,0.579,153.693,986.3622,7228.6377,0.45943,define,define,0.46406,C min,-0.044938,ぐつぐつ,水
boiling_02,0.074229,0.56066,110.7304,945.3647,5748.7793,0.37676,define,define,0.47515,C# maj,0.056287,ぐつぐつ,水
broadcast_stopping_01,0.1912,0.5875,199.4848,511.8702,512.1706,0.019071,define,define,0.04254,C min,-0.10452,ポーン,人工
broom_01,0.032121,0.6337,85.5019,7049.4043,15993.7025,0.9323,define,define,0.48723,B min,-0.019636,シャッシャ,人の動作
brushing_01,0.074097,0.53234,121.0019,5365.4608,11455.3528,0.91018,define,define,0.46432,F# min,-0.011301,シャカシャカ,人の動作
bubble_01,0.080198,0.61667,118.9689,1063.0692,5194.3806,0.30044,define,define,0.47004,A# maj,0.065498,ポコポコ,泡
camera_01,0.060224,0.54545,define,6907.3074,14400.3296,0.90601,define,define,0.49148,G maj,0.10539,パシャ,機械
camera_02,0.020869,0.79268,94.4603,3747.8175,13830.3726,0.88216,define,define,0.48539,A maj,0.035753,パシャ,機械
camera_03,0.07061,0.44958,136.8145,7455.349,15119.7573,0.92448,define,define,0.48622,B min,-0.10789,パシャパシャ,機械
camera_04,0.12599,0.41256,181.8788,7161.3603,14416.9842,0.91447,define,define,0.48552,B min,-0.1788,パシャパシャ,機械
clapping_01,0.036747,0.90141,84.9928,1015.5263,10160.6438,0.77063,define,define,0.47538,D# min,-0.10481,パンパン,人の動作
click_01,0.023086,0.7,466.5238,3541.8882,15275.3906,0.92243,define,define,0.49889,C maj,0.015963,カチ,パソコン
click_02,0.024153,0.69565,define,2892.2268,16007.8125,0.91907,define,define,0.47858,G# maj,0.040262,カチカチ,パソコン
clinking_01,0.023838,0.78022,157.713,1956.887,13309.2041,0.94979,define,define,0.49726,C# min,-0.081984,カーン,人の動作
clinking_02,0.023717,0.83333,183.355,1856.6779,13359.0088,0.94843,define,define,0.50468,G min,-0.047699,コーン,人の動作
clinking_03,0.023441,0.80263,121.8383,1455.0671,13255.0049,0.88465,define,define,0.44608,D# min,-0.11569,チーン,人の動作
clock_01,0.052,0.86261,60.0426,347.4006,2195.9839,0.34671,define,define,0.4053,D# min,-0.11755,カチコチ,機械
coin_01,0.050057,0.54098,91.4717,12882.8661,17417.3584,0.99242,define,define,0.46529,G# maj,0.047175,シャラシャラ,金物
cork_01,0.093785,0.68966,191.2717,540.7832,6637.6099,0.46788,define,define,0.37522,E min,-0.081456,ポン,ビン
cork_02,0.093023,0.71429,define,555.253,6686.0596,0.48532,define,define,0.36069,C maj,0.061177,ポン,ビン
crash_01,0.092449,0.78125,define,1986.105,11417.7246,0.75826,define,define,0.4905,A# min,-0.099648,カシャン,衝撃
cutter_01,0.029194,0.45455,define,10035.0304,14720.2148,0.98792,define,define,0.49359,F maj,0.089688,カチカチ,文房具
cutting_01,0.072175,0.8,define,2085.3196,4854.4922,0.48405,define,define,0.47066,A min,-0.064966,スコン,人の動作
cutting_02,0.042834,0.77143,124.9656,2361.4065,9749.6338,0.53124,define,define,0.47917,D# min,-0.057415,シャッコン,人の動作
cutting_03,0.048769,0.87778,59.6794,1370.4401,5284.0576,0.47765,define,define,0.47647,A min,-0.1118,コンコン,人の動作
cutting_04,0.099045,0.61972,134.1289,2093.8447,9261.1084,0.47924,define,define,0.47635,C min,-0.014463,トントン,人の動作
door_chime_01,0.12138,0.58228,56.4755,1193.3716,2664.7339,0.29299,define,define,0.25393,F min,-0.098682,ピンポーン,人工
door_chime_02,0.027323,0.73684,define,2257.8762,10866.1926,0.8817,define,define,0.40968,G min,-0.078897,ピンポン,金物
door_chime_03,0.032397,0.69091,155.8341,2796.77,10932.1381,0.92504,define,define,0.40817,D# maj,0.0072717,ピンポン,金物
door_chime_04,0.041816,0.60448,176.2343,4058.0585,10951.989,0.92921,define,define,0.38995,E min,-0.13954,ピンポン,金物
door_key_01,0.053454,0.7037,193.655,346.9729,8937.7441,0.67883,define,define,0.46009,A# min,-0.017462,カチ,鍵
door_key_02,0.045194,0.45,define,780.25,7312.5,0.60335,define,define,0.4207,A# min,-0.12015,カチャ,鍵
door_key_03,0.022565,0.76923,define,2238.283,13905.0659,0.91796,define,define,0.49178,A min,-0.11808,カチ,鍵
door_knock_01,0.21488,0.56204,116.1379,176.2601,7745.9106,0.31144,define,define,0.51489,B min,-0.049063,ドンドン,ドア
door_knock_02,0.10073,0.51087,160.8037,375.114,9815.918,0.44952,define,define,0.46275,G maj,0.013763,コンコン,ドア
door_knock_03,0.11213,0.52308,163.936,313.0356,7474.7314,0.36233,define,define,0.45146,D min,-0.013906,コンコン,ドア
door_knock_04,0.067562,0.66234,146.3074,233.536,6288.9404,0.32816,define,define,0.46978,B min,-0.064422,コンコン,ドア
door_knock_05,0.12484,0.66,177.338,236.3996,2509.2773,0.21449,define,define,0.45296,B min,-0.036344,コンコン,ドア
door_knock_06,0.058136,0.7,190.5086,223.3298,1248.7793,0.108,define,define,0.45641,C# min,-0.031803,コンコン,ドア
door_knock_07,0.05287,0.65517,165.305,274.9453,1586.4258,0.16486,define,define,0.45392,C# min,-0.048211,コンコン,ドア
drinking_01,0.042136,0.82353,64.6266,788.2474,1055.4634,0.1126,define,define,0.47674,G# maj,0.09308,ゴクゴク,人の動作
drinking_02,0.038285,0.8253,64.6242,902.1518,1180.9616,0.1238,define,define,0.49792,G# maj,0.10751,ゴクゴク,人の動作
eating_01,0.065328,0.52795,52.6957,3211.2465,9709.2876,0.65412,define,define,0.46303,C# min,-0.15687,スー,人の動作
eating_02,0.082605,0.54839,178.6896,2381.5394,11731.9336,0.65107,define,define,0.48478,C min,-0.0028416,ズルズル,人の動作
eating_03,0.037741,0.67204,99.2733,2726.845,13145.3247,0.73285,define,define,0.49951,C# min,-0.07057,ボリボリ,人の動作
eating_04,0.02529,0.70171,109.7724,2669.4725,11807.5974,0.74846,define,define,0.49259,C maj,0.025057,サクサク,人の動作
electric_01,0.26002,0.42308,196.3108,9089.7841,10948.288,0.95579,define,define,0.50404,D# min,-0.086317,ジジジジ,電気
electric_02,0.11302,0.83333,define,10729.7904,12831.0974,0.97989,define,define,0.50125,A# min,-0.022455,ジジジジ,電気
fabric_01,0.048298,0.85897,156.4944,522.004,2042.1215,0.19172,define,define,0.49529,G# maj,0.029118,パンパン,布
falling_01,0.042729,0.80851,165.2479,2403.4933,4780.3711,0.75616,define,define,0.48084,A min,-0.043493,カラン,金物
